seq,feed_to_engine_ns,decision_ns,total_ns
3787,1076205,28,112
3788,1076461,28,106
3789,1076614,32,118
3790,1076778,28,97
3791,1076929,29,106
3792,1077088,29,126
3793,1077350,29,103
3794,1077613,29,110
3795,1077870,29,118
3796,1078025,27,121
3797,1078187,31,117
3798,1078350,28,126
3799,1078521,28,241
3800,1078805,28,106
3801,1079064,32,113
3802,1079349,29,107
3803,1079611,32,120
3804,1079844,31,114
3805,1080005,32,242
3806,1080295,29,114
3807,1080485,35,132
3808,1080757,31,108
3809,1081024,32,113
3810,1081294,30,107
3811,1081447,31,117
3812,1081610,31,106
3813,1081766,36,128
3814,1081940,35,120
3815,1082111,31,112
3816,1082272,30,102
3817,1082420,31,106
3818,1082575,31,104
3819,1082842,48,267
3820,1083157,35,205
3821,1083407,32,120
3822,1083569,30,102
3823,1083715,30,123
3824,1083883,31,133
3825,1084143,32,131
3826,1084417,31,111
3827,1084571,32,126
3828,1084736,31,119
3829,1084899,36,140
3830,1085080,31,110
3831,1085237,32,115
3832,1085402,32,114
3833,1085656,33,125
3834,1085913,30,109
3835,1086070,31,107
3836,1086221,31,108
3837,1086377,32,174
3838,1086703,33,129
3839,1086974,36,155
3840,1087268,32,103
3841,1089192,31,128
3842,1089348,40,154
3843,1089552,33,199
3844,1089784,64,165
3845,1089892,36,121
3846,1090161,31,120
3847,1090338,30,120
3848,1090605,36,115
3849,1090656,31,118
3850,1090712,32,93
3851,1090745,32,119
3852,1090907,32,117
3853,1091178,32,126
3854,1091452,36,117
3855,1091727,31,117
3856,1092012,32,144
3857,1092293,30,109
3858,1092561,35,114
3859,1092828,32,116
3860,1092993,33,128
3861,1093170,31,122
3862,1093343,31,127
3863,1093516,32,112
3864,1093669,31,183
3865,1093897,31,113
3866,1094157,32,113
3867,1094432,32,157
3868,1094733,32,266
3869,1095048,33,113
3870,1095212,33,213
3871,1095465,32,131
3872,1095728,32,116
3873,1095855,32,128
3874,1096034,31,107
3875,1096186,32,152
3876,1096510,31,109
3877,1096785,32,116
3878,1097052,32,110
3879,1097203,31,113
3880,1097369,33,119
3881,1097533,30,113
3882,1097694,32,119
3883,1097855,30,100
3884,1098000,32,112
3885,1098167,31,93
3886,1098416,37,125
3887,1098587,31,106
3888,1098743,31,99
3889,1098892,32,107
3890,1099043,33,108
3891,1099307,31,106
3892,1099644,38,166
3893,1099867,37,99
3894,1100123,38,133
3895,1100436,39,136
3896,1100618,36,119
3897,1102707,37,196
3898,1102951,37,114
3899,1103211,36,130
3900,1103395,40,157
3901,1103691,37,142
3902,1103971,44,152
3903,1104192,37,129
3904,1104493,48,240
